step,country_added,portfolio_size,portfolio_cv,marginal_cv_reduction,portfolio_mean_gw,portfolio_min_gw
1,GB,1,0.7036758396658293,0.0,5.91935839113665,0.1836575
2,ES,2,0.4854875390311458,31.006933638406508,12.448746646804155,0.573684
3,SE,3,0.43562649389437186,10.27030379322983,15.865622599850441,1.3895050000000002
4,IT,4,0.4165832005147199,4.371472728715496,18.226834619686713,2.1848050000000003
5,GR,5,0.40530640874565327,2.7069722819195126,19.215926972488983,2.6188599999999997
6,RO,6,0.3989152200419675,1.5768782742580583,19.988889411714162,2.68511
7,AT,7,0.39424788504309705,1.1700067493988902,20.8826165645794,2.8121099999999997
8,DK,8,0.39090702720865533,0.847400318730057,22.914250785100492,3.4325099999999997
9,IE,9,0.3881648097291003,0.701501198158644,24.12266387398982,3.74928
10,PT,10,0.38569881396667016,0.6352960651304618,25.61189032825619,4.16518
11,HR,11,0.3847278367336454,0.2517449361689394,25.852213879303104,4.21896
12,NO,12,0.3838323499982365,0.23275849832224754,27.140548783467146,4.29158
13,BG,13,0.3831565537224955,0.17606548164689526,27.298159196919606,4.30858
14,EE,14,0.38287585991666023,0.07325825517226592,27.393869792007767,4.35658
15,HU,15,0.3826634161553809,0.05548632951828463,27.46647281917113,4.35863
16,CZ,16,0.38248925722244975,0.04551230286943322,27.543242130756067,4.36259
17,SI,17,0.3824824435188962,0.0017814104383016482,27.54383762548213,4.36266
18,SK,18,0.38248012830694766,0.0006053119529472994,27.544302303929868,4.36266
19,CH,19,0.38249103886049424,-0.0028525804974151824,27.55977293483352,4.36689
20,LV,20,0.3825133211599389,-0.0058255742437936875,27.580710285667898,4.37189
21,LU,21,0.38258554961109076,-0.018882597587142592,27.622649810522276,4.381494999999999
22,LT,22,0.38276304970378183,-0.046394876354192705,27.838178580643895,4.4232949999999995
23,FI,23,0.3834886003563284,-0.1895560851832723,29.08314121701826,5.094094999999999
24,PL,24,0.3881402585426268,-1.212984735915529,31.165344974693014,5.383344999999999
25,BE,25,0.3926860885696669,-1.17118230510502,32.453728751658744,5.7051549999999995
26,NL,26,0.4017481268393948,-2.3077054506147077,34.10637401536999,5.836295
27,FR,27,0.41228467211598546,-2.622674400371952,38.64022616223317,6.776295
28,DE,28,0.46168314828475276,-11.981642663365943,53.388462113951135,7.712650000000002
