step,country_added,portfolio_size,portfolio_cv,marginal_cv_reduction,portfolio_mean_gw,portfolio_min_gw
1,DE,1,0.7308728046769548,0.0,14.74823595171796,0.046582500000000006
2,ES,2,0.5619992379146944,23.10573955982702,21.277624207385465,0.71645
3,SE,3,0.5188919639840681,7.670343840781067,24.694500160431758,1.3334549999999998
4,IT,4,0.49414724872703175,4.768760546423902,27.05571218026803,2.35053
5,GR,5,0.4800541380595937,2.8520063004991334,28.044804533070295,2.67953
6,PT,6,0.46918149805749937,2.2648778835741625,29.534030987336667,3.2398675
7,IE,7,0.4608930655041917,1.766572762912301,30.74244407622599,3.67297
8,RO,8,0.45398222449694875,1.49944564682978,31.51540651545117,3.8678150000000007
9,NO,9,0.44823244718996325,1.2665203606499684,32.803741419615214,3.9754475
10,FI,10,0.4435391549741194,1.0470665935201289,34.048704055989575,4.6462475
11,AT,11,0.4402052188450675,0.7516666999210923,34.94243120885483,4.6802475
12,HR,12,0.4383625022092406,0.41860399580484453,35.182754759901734,4.7340275
13,BG,13,0.4372972081328469,0.24301669760184674,35.34036517335419,4.7510275
14,EE,14,0.4369843047999675,0.07155392878344402,35.43607576844236,4.7990275
15,HU,15,0.4367336982701667,0.05734909172893926,35.50867879560572,4.8010775
16,SI,16,0.4367265573186299,0.001635081415767678,35.50927429033179,4.8011475
17,SK,17,0.4367244709890354,0.00047771988205618345,35.509738968779516,4.8011475
18,LV,18,0.4367322203393593,-0.0017744254876279704,35.530676319613896,4.8061475
19,CH,19,0.43675139046081113,-0.004389445192962833,35.54614695051755,4.8103774999999995
20,LT,20,0.43682211650021274,-0.016193660958238015,35.76167572063917,4.8521775
21,CZ,21,0.4369844145708364,-0.03715427046688917,35.8384450322241,4.8561375
22,LU,22,0.43718546873380293,-0.04600945852129836,35.880384557078486,4.8657425
23,GB,23,0.4392826067399557,-0.47969069334043246,41.79974294821513,6.089622499999999
24,DK,24,0.4412268073592421,-0.4425853856848171,43.831377168736225,6.137502499999999
25,BE,25,0.4464283940091547,-1.1788917996719832,45.119760945701955,6.8007849999999985
26,PL,26,0.451077059599306,-1.0413015060274111,47.20196470337671,6.9834025
27,FR,27,0.4555361718934968,-0.9885477878551122,51.73581685023991,7.6464025
28,NL,28,0.46168314828475276,-1.349393697037321,53.388462113951135,7.712650000000001
