Region,Min [GW],Mean [GW],Max [GW],CV
Northwest Europe,2.5984385000000003,32.36702123921678,101.92017500000001,0.6401369151943196
Nordic,0.9058275000000001,10.787875874416487,29.276685,0.5220407113516647
Iberia,0.2575,8.324547546396447,24.4272,0.5669766535719147
Central Europe,0.0795275,3.944627908829557,12.386450000000002,0.6991946996257666
Southeast Europe,0.07482,2.544617807412046,7.80118,0.538839428701597
Baltics,0.0018800000000000002,0.5375100361493795,1.8220825,0.796099974036709
Italy,0.062,2.500541956051463,8.38,0.7559550041633374
Pan-European,9.994708499999996,61.00674236847217,156.30711250000002,0.46893270411624033
