Year,Sum Regional Mins [GW],Pan-European Min [GW],Dividend
2022,3.7929040000000005,11.120775500000002,2.931994983263484
2023,3.7825665,9.905365500000002,2.618689056755513
2024,3.9799935,9.994708499999998,2.5112373927243845
