Region,Min [GW],Mean [GW],Max [GW],Std [GW],CV,Hours
Northwest Europe,2.5984385000000003,32.398921835755516,101.92017500000001,20.833113783378906,0.6430187365181838,8783
Nordic,0.9058275000000001,10.787875874416487,29.276685,5.631710395453845,0.5220407113516647,8783
Iberia,0.2575,8.324547546396447,24.4272,4.71982411035615,0.5669766535719146,8783
Central Europe,0.0795275,3.9451379970960034,12.386450000000002,2.7581698531550867,0.6991314005201749,8783
Southeast Europe,0.07482,2.5447703775196446,7.80118,1.3712592855692287,0.538853838319895,8783
Baltics,0.0018800000000000002,0.5375087915622865,1.8220825,0.4279360750057953,0.7961471174489732,8783
Italy,0.062,2.500541956051463,8.38,1.8902972047974833,0.7559550041633374,8783
Pan-European,9.994708499999998,60.96372776663273,156.30711250000007,28.752404357781153,0.47163133573203514,8783
