Region,Min [GW],Mean [GW],Max [GW],CV
Northwest Europe,3.1827775000000003,44.68280566230684,116.447839,0.5244114608641867
Nordic,1.1313199999999999,11.55747044745531,29.276925000000002,0.46100560485351166
Iberia,0.668,14.270926858704318,32.432100000000005,0.5144887605171116
Central Europe,0.0797225,7.799755485881816,27.2552,0.7065231563296234
Southeast Europe,0.22607999999999998,4.538542240407606,13.39875,0.647636600788596
Baltics,0.00614,0.8558643752134806,2.87034,0.6478270518612459
Italy,0.062,5.66253671866105,26.841,0.8216537831133109
Pan-European,16.6782445,89.36790178863043,197.55645500000003,0.43703572376616956
