country1,country2,n_obs,pearson_r,clayton_theta,lambda_L,gumbel_theta,lambda_U,lambda_L_empirical
PT,ES,87649,0.6930695881719516,1.0326764579558587,0.5110875996893778,1.8288503877656705,0.5391666732446061,0.3900296600501939
PT,IE,87227,0.08387722288656646,0.051305315193874663,1.3569905374546589e-06,1.046518213435388,0.06068179375570537,0.11727616645649433
PT,GB,86378,0.11284330194728275,0.05472225503506825,3.154623543763091e-06,1.0626849416345923,0.08012461017262917,0.1054886521537749
PT,FR,87653,0.25480853962646494,0.24514408282507594,0.05916001860544943,1.176868732229933,0.19785831813571808,0.18149669176363223
PT,BE,87672,0.12446808330690051,0.07433718220492111,8.922340538777582e-05,1.0713719265761281,0.09025147142625523,0.13197216835861755
PT,NL,87672,0.11359707570661366,0.05509985594680777,3.4406968700425975e-06,1.0641580806581519,0.0818573585745288,0.10448271928823999
PT,LU,87672,0.150543925789726,0.09804491077866766,0.000850496242783896,1.0880679372484696,0.10911678932648505,0.12729554009353256
PT,DE,87672,0.10899202063346787,0.07640214971348816,0.00011479624300114433,1.0574727621943518,0.07394241880352115,0.12820805292574428
PT,DK,87670,0.06318742592984032,0.010006640426076843,8.25993905129866e-31,1.0361816395065158,0.047825848965190154,0.10402646287213414
PT,NO,87668,0.13256203365013053,0.06598704870786265,2.7418535822615977e-05,1.0761084581876146,0.09568206824900138,0.1084749629291662
PT,SE,87575,0.06672078924713315,0.033083794275185756,7.961287885326884e-10,1.0344805843543146,0.04567731087708671,0.10957653235931972
PT,FI,87617,0.09249457069637812,0.05202096176025059,1.6341589816696695e-06,1.0553451686210356,0.07139554948324056,0.1142433234421365
PT,EE,87396,0.05430380520030271,0.010006640426076843,8.25993905129866e-31,1.0273421791741932,0.03655726881025534,0.08911004346831389
PT,LV,87587,0.031195847924384287,0.010006640426076843,8.25993905129866e-31,1.0195329008632266,0.02638399040718653,0.07889929207581639
PT,LT,86719,0.07177076280161801,0.017205870946699613,3.1932135967121334e-18,1.040603425926924,0.05336704531573133,0.1101372390727713
PT,PL,87672,0.07496246680745766,0.0334770300518037,1.0182732655852727e-09,1.0395950178236888,0.052108882838737935,0.11223907836203946
PT,CZ,87667,0.08652434880224305,0.065101741321714,2.3768786387228817e-05,1.0432550738878241,0.05665997195344774,0.12889243754990304
PT,SK,87145,0.050667018383657926,0.10854372158034835,0.0016851848834080621,1.0610378991972909,0.07817975284039269,0.0
PT,AT,87672,0.08417781845244351,0.061089314149785745,1.1811281368038866e-05,1.0474917293975088,0.06187519519733908,0.12398768107676514
PT,CH,87672,0.17876674558404235,0.1052997399042441,0.0013842309467657881,1.1016423651385487,0.12390145964414545,0.13254248887874986
PT,SI,87652,0.03207565663418996,0.01203085663886901,9.517150984787523e-26,1.0100063082386792,0.013687209743129536,0.0
PT,HR,52608,0.08944741041759109,0.023903710756739225,2.5501044682078175e-13,1.0460990729087027,0.060167072373774166,0.08325413419501995
PT,HU,87671,0.0687798019284241,0.07065878277773999,5.49118744586504e-05,1.037992901229002,0.05010326043962854,0.1327706170868028
PT,RO,87550,0.060753264506061874,0.011791769491247574,2.9592185816785355e-26,1.0279550119049938,0.03734687234458489,0.10044566335275969
PT,BG,87670,0.07194526413713634,0.010006640426076843,8.25993905129866e-31,1.0337925989407974,0.04480566107660833,0.09102315501311738
PT,RS,26304,0.1593549325874822,0.10037706459782622,0.0010023241163731494,1.0915897548347184,0.11299914511599685,0.18181818181818182
PT,GR,87636,0.08438329338250684,0.026069691120298527,2.8370989226537154e-12,1.0437771757077314,0.05730571389936778,0.09698767685988133
PT,IT,87622,0.17636959059182658,0.09056415638107661,0.00047430541402325373,1.1027696397630091,0.1251077330440724,0.1168816345166077
ES,IE,87204,0.12318905977768348,0.10106983920284947,0.0010509075540821905,1.069527686606546,0.08811975685116913,0.13596239825748022
ES,GB,86355,0.161060476784764,0.12620059282012358,0.0041178498837259265,1.0964542703090432,0.11830769096991922,0.14368414958897766
ES,FR,87630,0.39604957600771235,0.4879846154626018,0.2416105016656743,1.3252374129284663,0.31285756627538674,0.27222919758018493
ES,BE,87649,0.19635579683498008,0.1431408594950273,0.007887996134980797,1.1176905042352774,0.1407741108788365,0.13258785942492013
ES,NL,87649,0.186529174663532,0.11972208512415648,0.003059098383889503,1.1108737132810256,0.13368522517874148,0.13030579643998175
ES,LU,87649,0.2417260988459865,0.20969988557231375,0.03668362912996048,1.156726850480534,0.17928093659669075,0.17309447740757644
ES,DE,87649,0.15107909968265465,0.14969340666579367,0.00975041306891085,1.087132336978938,0.10807983140380295,0.1574623459607485
ES,DK,87647,0.10387820900352099,0.07854706570133536,0.00014706888444042696,1.0618423081222075,0.07913061315874725,0.1295070743952533
ES,NO,87645,0.20207883455117834,0.1651754903064569,0.015049225127082727,1.129601166247667,0.152892019237292,0.13566864445458696
ES,SE,87552,0.08636211012249373,0.09990126912397737,0.0009698956478770081,1.0506500212419927,0.06572659776093892,0.14819043269779655
ES,FI,87594,0.12094583888889565,0.10178731044828143,0.0011029573031973363,1.0752866305860256,0.09474435024357697,0.13695503309746634
ES,EE,87374,0.06693624356467577,0.04774931826475406,4.961544470318814e-07,1.0363921090444814,0.048091030803916635,0.1227106227106227
ES,LV,87564,0.05820078485378887,0.0417092908005095,6.062661064229888e-08,1.0333923490410573,0.0442978474435507,0.09925756710451171
ES,LT,86696,0.10094957131039932,0.06925040116753904,4.4980226156153354e-05,1.058949861072631,0.07570261543286394,0.13105676049838486
ES,PL,87649,0.09889268197420785,0.09270158155892069,0.0005658461734843889,1.0562865584694197,0.07252413573367678,0.14376996805111822
ES,CZ,87644,0.12491795353954817,0.1234035992374443,0.0036358506179738725,1.069728631368875,0.08835249670124856,0.1413738019169329
ES,SK,87124,0.07021434770297659,0.23388582168456218,0.05163200698608209,1.1077963254689016,0.1304474669331639,0.0
ES,AT,87649,0.15737245472400585,0.12058465453509787,0.0031884496666425653,1.0929694354960007,0.11451108534116305,0.13213144682793246
ES,CH,87649,0.28395850596429373,0.23178647277989742,0.050264525557583754,1.1838099441477359,0.20407115572923495,0.17092651757188498
ES,SI,87629,0.08108324996040205,0.07012372999354444,5.095178373577063e-05,1.0420840711892017,0.05520852548498989,0.0
ES,HR,52602,0.19829727336533476,0.14969658184270287,0.009751370754990458,1.1214720181725277,0.14465793287686735,0.13552556548184755
ES,HU,87648,0.14429550802615737,0.144149201062384,0.008159765320532567,1.0883242810688596,0.10940049374870786,0.1520994979461433
ES,RO,87527,0.10692610842604133,0.07552543501468781,0.00010332145404748724,1.0589602569677126,0.07571498068806926,0.12780064014631917
ES,BG,87647,0.099925833554733,0.04009763049254324,3.108665196234827e-08,1.0553499835187048,0.07140132863371473,0.0997261524418074
ES,RS,26304,0.2172997093906408,0.16376697635956738,0.014515748934499615,1.1283859466945332,0.15167096992967766,0.19163498098859316
ES,GR,87613,0.16541012559207585,0.10008443887783702,0.0009822900894062192,1.09578040429042,0.11757601634108839,0.12748230997489157
ES,IT,87599,0.3103326488726245,0.2542634320814447,0.06547423465947697,1.2090746129367567,0.2259104712134783,0.16773162939297126
IE,GB,85934,0.61721961639459,0.8117900425115326,0.42577241550851574,1.6677676359169527,0.48469951147764423,0.3272050267628578
IE,FR,87209,0.3688151240719242,0.3045281449708108,0.10268029631953145,1.2660296059666178,0.27108020447790104,0.17589725948859075
IE,BE,87227,0.4160662275240911,0.3287379720119797,0.12141879027029524,1.3122833675708614,0.304124174488841,0.15327295655164508
IE,NL,87227,0.37206761570854857,0.3458528779554609,0.13477241481032215,1.2885268096703821,0.2875283693515327,0.16932248079789064
IE,LU,87227,0.3245902397666817,0.23112100959233445,0.04983358715763633,1.2181049407614402,0.2334343908726042,0.13424280637395392
IE,DE,87227,0.3536763833950445,0.286696875624447,0.08912632767915499,1.248617393168194,0.25782946867198353,0.16657113378424854
