year,n_countries,mean_individual_cv,aggregated_cv,cv_reduction_pct
2015,27,0.8405742628570909,0.41113960938216537,51.08824674399236
2016,27,0.858003643422377,0.4134304595394542,51.814836369414905
2017,27,0.7943480003325066,0.4189455201378512,47.25919622602631
2018,27,0.8089057625057307,0.45322774715861386,43.97026598566196
2019,28,0.9540576464045846,0.41072340708171484,56.9498333114831
2020,28,0.7971932276033727,0.44258273823718364,44.48237605232371
2021,28,0.8224092425677672,0.44689068994150755,45.66078944514253
2022,29,0.8480961607417603,0.4399752185545436,48.12201270080821
2023,29,0.8179758500597862,0.44971276656741155,45.02126602704202
2024,29,0.8339906991952747,0.4716039622542134,43.45213169532125
