country1,country2,r,p,ci_low,ci_high,n,n_eff,autocorr1,p_corrected,significant
AT,BE,0.11828090774484513,1.156235895548677e-28,0.09757997105857967,0.13887954060335306,8759,110.5444171639352,0.9750732592420385,1.9378255232659392e-28,True
AT,BG,0.22412729301391768,3.763588009000387e-100,0.2041428492542082,0.24392500647805393,8759,110.5444171639352,0.9750732592420385,1.026433093363742e-99,True
AT,CH,0.1824206827798728,2.0543671431772472e-66,0.16209730135926598,0.2025893693902083,8759,110.5444171639352,0.9750732592420385,4.3709939216537174e-66,True
AT,CZ,0.5544482364955389,0.0,0.5397732230192174,0.5687863605208678,8759,110.5444171639352,0.9750732592420385,0.0,True
AT,DE,0.31591349367085386,3.1714936825983174e-202,0.2969353844275853,0.3346421325472634,8759,110.5444171639352,0.9750732592420385,1.3991883893816108e-201,True
AT,DK,,,,,8759,110.5444171639352,0.9750732592420385,,False
AT,EE,0.11958737272288894,2.876933620598221e-29,0.09889239283699419,0.14017895137573247,8759,110.5444171639352,0.9750732592420385,4.848764529098125e-29,True
AT,ES,0.029403425783773644,0.005922256964641758,0.008465985415522969,0.050315096065580205,8759,110.5444171639352,0.9750732592420385,0.006531901063943115,True
AT,FI,,,,,8759,110.5444171639352,0.9750732592420385,,False
AT,FR,0.08042971300259134,4.7533715744416527e-14,0.0595874291590729,0.10120190094632597,8759,110.5444171639352,0.9750732592420385,6.541337029048145e-14,True
AT,GR,0.06086907543275178,1.1897977348314077e-08,0.03997738339896619,0.08170757149355463,8759,110.5444171639352,0.9750732592420385,1.506073082065073e-08,True
AT,HR,0.1319876675539626,2.448842427024449e-35,0.11135281227840214,0.1525087607091855,8759,110.5444171639352,0.9750732592420385,4.50707195157874e-35,True
AT,HU,0.8495951696059268,0.0,0.8436636352144351,0.8553193170458625,8759,110.5444171639352,0.9750732592420385,0.0,True
AT,IE,0.11731182627198034,3.9574589704785816e-20,0.09248027643063267,0.14199754850524463,6096,110.5444171639352,0.9750732592420385,5.996149955270578e-20,True
AT,LT,0.25170285651739094,1.1795527617597307e-126,0.23198306119633513,0.2712158430657403,8759,110.5444171639352,0.9750732592420385,3.686102380499158e-126,True
AT,LU,0.10869390883672717,1.954438900076942e-24,0.08795146256912456,0.12934213590528887,8759,110.5444171639352,0.9750732592420385,3.1187854788461838e-24,True
AT,LV,0.09970677030165204,8.480016103461437e-21,0.07892893012120615,0.12039801787010783,8759,110.5444171639352,0.9750732592420385,1.3046178620709903e-20,True
AT,NL,0.16107007556348737,5.463279178728332e-52,0.14060170452433918,0.18140082160118035,8759,110.5444171639352,0.9750732592420385,1.0782787852753286e-51,True
AT,NO,0.12111960182575666,5.5188274727446294e-30,0.10043169984586744,0.14170281689890257,8759,110.5444171639352,0.9750732592420385,9.46084709613365e-30,True
AT,PL,0.4155158349862618,0.0,0.3980369001609252,0.4326931906264778,8759,110.5444171639352,0.9750732592420385,0.0,True
AT,PT,0.004807121531427098,0.6528296847845496,-0.016137156660284493,0.025747183064103285,8759,110.5444171639352,0.9750732592420385,0.6594239240247975,False
AT,RO,0.19739748955939282,1.1383603560699778e-77,0.17718733322099142,0.21744123517039157,8759,110.5444171639352,0.9750732592420385,2.6269854370845643e-77,True
AT,RS,0.04202391571400239,8.348293175343204e-05,0.021099831912284556,0.0629112016507521,8759,110.5444171639352,0.9750732592420385,9.632645971549851e-05,True
AT,SE,0.12447178618177974,1.3826123158108827e-31,0.10379971451027359,0.14503636341459172,8759,110.5444171639352,0.9750732592420385,2.4115331089724697e-31,True
AT,SI,,,,,8759,110.5444171639352,0.9750732592420385,,False
AT,SK,0.5724246208810309,0.0,0.5581734005468018,0.58633819906041,8759,110.5444171639352,0.9750732592420385,0.0,True
AT,UK_gridwatch,0.09171461396275808,7.941586783296307e-18,0.07090815701878993,0.11244129623795511,8759,110.5444171639352,0.9750732592420385,1.1678804093082804e-17,True
BE,BG,0.013678261134968537,0.20053838513080358,-0.007266474014048838,0.03461100010107629,8759,55.777327704957735,0.9873445861123119,0.20745350185945197,False
BE,CH,0.4623677270424916,0.0,0.4457412785740221,0.4786752688609353,8759,55.777327704957735,0.9873445861123119,0.0,True
