pair,optimal_lag_hours,max_correlation
EE-ES,-9.0,0.0724175578709198
EE-FI,-48.0,0.0
EE-FR,-37.0,0.21735131727780885
EE-GR,29.0,0.13126046268300565
EE-HR,46.0,0.01431206135416893
EE-HU,48.0,0.19129955102244856
EE-IE,-48.0,0.19248112499868267
EE-LT,0.0,0.6125983283674737
EE-LU,-37.0,0.2524560988425857
EE-LV,1.0,0.6395346929438077
EE-NL,19.0,0.23660323331156577
EE-NO,17.0,0.3520963033869747
EE-PL,0.0,0.43759094540271354
EE-PT,7.0,0.10085661777040068
EE-RO,35.0,0.17822993178435598
EE-RS,37.0,-0.05613974259442902
EE-SE,10.0,0.6319019956572866
EE-SI,-48.0,0.0
EE-SK,17.0,0.2591000362913668
EE-UK_gridwatch,-48.0,0.22775379309885177
ES-FI,-48.0,0.0
ES-FR,-2.0,0.39635233841504475
ES-GR,37.0,0.14758851968450365
ES-HR,-24.0,0.14096247249227933
ES-HU,-22.0,0.10364397213558106
ES-IE,39.0,0.23903662193399244
ES-LT,2.0,0.08728113857287798
ES-LU,-1.0,0.27091695397759324
ES-LV,8.0,0.09215272295631573
ES-NL,25.0,0.24750944559505433
ES-NO,-34.0,0.16894762789407747
ES-PL,1.0,0.14127795825667744
ES-PT,1.0,0.6624881471375503
ES-RO,-48.0,0.20846116821275146
ES-RS,-27.0,0.09332341746994263
ES-SE,-48.0,0.06523093438110548
ES-SI,-48.0,0.0
ES-SK,-14.0,0.1075355837712663
ES-UK_gridwatch,31.0,0.2520922317887641
FI-FR,-48.0,0.0
FI-GR,-48.0,0.0
FI-HR,-48.0,0.0
FI-HU,-48.0,0.0
FI-IE,-48.0,0.0
FI-LT,-48.0,0.0
FI-LU,-48.0,0.0
FI-LV,-48.0,0.0
FI-NL,-48.0,0.0
FI-NO,-48.0,0.0
FI-PL,-48.0,0.0
FI-PT,-48.0,0.0
FI-RO,-48.0,0.0
FI-RS,-48.0,0.0
FI-SE,-48.0,0.0
FI-SI,-48.0,0.0
FI-SK,-48.0,0.0
FI-UK_gridwatch,-48.0,0.0
FR-GR,-8.0,0.04735478785260976
FR-HR,-48.0,0.040510761973689274
FR-HU,-23.0,0.2172534024538447
FR-IE,11.0,0.4017073549192472
FR-LT,1.0,0.24057150972608826
FR-LU,-1.0,0.8283591448243667
FR-LV,10.0,0.20633595713204744
FR-NL,-1.0,0.6238594833282934
FR-NO,-1.0,0.25919667626982
FR-PL,-17.0,0.3564050394255303
FR-PT,15.0,0.29817378095656116
FR-RO,-47.0,0.14924688238211847
FR-RS,43.0,0.05001737445034
FR-SE,22.0,0.14664141839294062
FR-SI,-48.0,0.0
FR-SK,-19.0,0.2657479485000657
FR-UK_gridwatch,1.0,0.47517118191300056
GR-HR,15.0,0.32842281049216515
GR-HU,25.0,0.09752791556254875
GR-IE,-12.0,0.09030438513479074
GR-LT,48.0,0.05732761343597859
GR-LU,-48.0,0.009719479491547334
GR-LV,16.0,0.07152168909118804
GR-NL,15.0,-0.005894514802846271
GR-NO,16.0,0.12022980205808262
GR-PL,48.0,0.030800149724169633
GR-PT,-27.0,0.08461608620329984
GR-RO,1.0,0.19411135255053502
GR-RS,12.0,0.11003069026784469
GR-SE,-8.0,0.11749763148593778
GR-SI,-48.0,0.0
GR-SK,-24.0,0.05158828758072878
