year,n_countries_raw,n_countries_cf,weighted_cv_raw,agg_cv_raw,div_benefit_raw_pct,mean_cv_cf,agg_cv_cf,div_benefit_cf_pct
2015,27,25,0.7121958476460553,0.41116508824125975,42.26797451849239,0.7996219087235797,0.41331883997245045,48.310715919199495
2016,27,25,0.7167897012530683,0.41345589437041974,42.31838241430789,0.8163565580044911,0.41347641121089435,49.351002676869584
2017,27,25,0.6884388029540833,0.41897003349442324,39.14200772870044,0.770616081187774,0.4187144965192032,45.66496771338773
2018,27,25,0.7077263816827903,0.453254737049789,35.95621856400683,0.8058498688281241,0.4503786372132874,44.11134695992033
2019,28,26,0.6766278583104492,0.4107470574089207,39.294982852972865,0.7665183053840576,0.405895789822691,47.04682367379077
2020,28,26,0.684131476298277,0.44260830849102456,35.30361870120267,0.7704170539113586,0.442786724172482,42.52635998586975
2021,28,26,0.7089205976569014,0.4469163725765072,36.95819051475737,0.790568452316677,0.44692299054977463,43.46814760440868
2022,29,27,0.6947525691349068,0.4400045923382365,36.66743933223274,0.8135900450519631,0.4399123233469426,45.92948549181844
2023,29,27,0.7186475275986091,0.44973870081192246,37.41873678815215,0.7936393735794128,0.45055949497289877,43.22868673452792
2024,29,28,0.7332846639901431,0.47163133573203503,35.682367449815544,0.8210250850089345,0.47062008052732807,42.67896448959208
