method,point_estimate,ci_low,ci_high,se
minimum,5.4572875000000005,5.4572875000000005,7.0608,0.5623729214439079
1st_percentile,12.515330625,11.927302094375001,13.3004282955,0.36578815486274213
5th_percentile,17.711200475000002,16.951283343125002,18.497617303125,0.38824725662370835
