year,n_wind_countries,n_solar_countries,n_hours,wind_mean,wind_min,wind_max,wind_std,wind_cv,solar_mean,solar_min,solar_max,solar_std,combined_mean,combined_min,combined_max,combined_std,combined_cv,correlation,baseload_improvement_gw,baseload_improvement_pct,cv_reduction_pct
2015,27,20,8665,32.204850097326414,6.73974,71.90841750000001,13.382784709943143,0.4155518398470719,10.956090937103289,0.0002125,58.299885,14.653161328975033,43.160941034429705,9.017345,109.17152000000002,17.628098885354,0.4084271209770884,-0.21179028409395495,2.2776050000000003,33.793662663544886,1.714519871360809
2016,27,19,8784,32.12555394438752,5.4572875000000005,87.07521249999999,14.030555669472527,0.4367412837070699,11.082008532559199,0.009659999999999998,58.14178500000001,14.943509867573164,43.20756247694672,8.712477499999997,105.1313375,18.186308651708668,0.420905684309591,-0.2132517075881558,3.2551899999999963,59.64849753655081,3.625853563250525
2017,27,19,8760,38.25633412128996,8.199455,90.29276750000002,16.0689007296767,0.42003242335585483,11.732951694349316,0.0009725,62.882349999999995,15.831039092576946,49.98928581563927,9.06107,117.5005975,20.114383713851197,0.4023738964391918,-0.20489013806331996,0.8616150000000005,10.508198410748037,4.204086621594582
2018,27,19,8760,39.90208233418951,7.060800000000002,102.05539249999998,18.001625247658623,0.4511450078442196,12.313337862157534,0.00327,64.48956750000002,16.920676895057134,52.21542019634703,11.396994999999999,120.78982499999998,20.992091262607374,0.40202858051645,-0.27856221010183196,4.3361949999999965,61.41223374121905,10.887059919485909
2019,28,20,8760,45.63168598953577,8.375155000000001,102.12294750000002,18.761141520385753,0.41114285202365847,12.963539954337898,0.0021975000000000002,68.05303500000002,17.568961302683913,58.595225943873665,12.860129999999996,135.60177,22.12517870004527,0.37759353844352805,-0.25958457412663577,4.484974999999995,53.550949206313135,8.160013828526901
2020,28,21,8784,50.28307592526184,8.7988025,119.8002375,22.29380259886722,0.4433659275737939,14.730873373463115,0.0029725,74.96875249999998,19.97701208332739,65.01394929872495,12.860714999999997,148.77837500000004,25.866727095398545,0.3978642641219435,-0.2548559130865068,4.0619124999999965,46.16437861856766,10.262778581305643
2021,28,22,8760,49.16109964758371,7.712650000000001,124.98148499999999,22.019743602954634,0.4479099076466023,16.32402294796423,0.00338,83.394775,22.036207585909406,65.48512259554795,15.914240000000001,165.32170500000004,27.327301343557586,0.4173054926129962,-0.23049007471552085,8.20159,106.33945531043155,6.8327166939456845
2022,29,23,8760,53.60269161611492,10.243685,132.1769,24.200833798765494,0.45148542114422185,20.122920193778537,0.002805,100.065715,27.083903665125916,73.72561180989345,17.5172855,171.009902,30.863575443919764,0.41862759340001965,-0.27969806871099967,7.273600500000001,71.00570253770984,7.2777162241316695
2023,29,24,8760,59.80254447167047,9.905365499999998,149.11644800000005,26.880822539786784,0.4494929568175934,23.78702762157534,0.0021674999999999997,120.93186750000001,31.66370857899284,83.58957209324582,20.237394499999994,179.40521950000002,34.2803247335733,0.41010288574432374,-0.3231102855669291,10.332028999999995,104.30739784412796,8.763223199791836
2024,29,25,8783,61.00674236847216,9.994708499999998,156.3071125,28.60805666817046,0.46893270411624033,28.48557488412274,0.0080925,149.00634499999998,37.69639606259163,89.4923172525949,16.6937645,197.556585,39.06168605614987,0.43648088746989333,-0.3308652681042861,6.699056000000002,67.02602682209296,6.920356878820455
