year,month,month_name,n_countries,n_samples,min,max,mean,std,cv_aggregate,cv_individual_mean,cv_reduction
2015,1,Jan,27,527,18991.045,71563.6075,44610.23510120177,15692.78804774158,0.35177550649848127,0.7654016276455285,54.04040260789791
2015,2,Feb,27,635,11253.215,65585.23000000001,37466.15550787402,10222.713296218155,0.2728519421767123,0.732722135186557,62.76188079028867
2015,3,Mar,27,735,16291.235,71908.4175,36057.66507142857,13172.307468972092,0.3653122697456521,0.755897967578654,51.67174864673254
2015,4,Apr,27,710,9930.1525,68792.9775,28925.299588028174,10438.236141598783,0.3608687304977488,0.7903522687196857,54.340773756197294
2015,5,May,27,722,15941.95,55966.134999999995,30846.39492036011,7482.06311774566,0.2425587540152751,0.8067836274666278,69.93509216629357
2015,6,Jun,27,645,9170.5475,59086.49999999999,23481.16853488372,8597.64150647299,0.3661504960326101,0.8688544656233872,57.858247782624474
2015,7,Jul,27,624,6739.74,53107.395000000004,26263.739278846155,10308.953788492618,0.3925166054627969,0.8433193944978409,53.45575970104151
2015,8,Aug,27,716,7489.152499999999,46535.67,22327.856400139663,8426.904335547237,0.3774166308009096,0.8598416550881869,56.10626345356564
2015,9,Sep,27,696,10065.987500000001,53651.87,27146.422137212645,9026.53261877793,0.3325127920413589,0.7601386884871937,56.256299399374555
2015,10,Oct,27,645,7687.700000000001,45548.1825,25445.6404496124,8794.67792392741,0.34562611781545366,0.831921806509324,58.45449474804938
2015,11,Nov,27,677,15082.155,69154.18750000001,42772.19546528804,13245.849629630302,0.30968365045418417,0.7636000489893917,59.444260007048996
2015,12,Dec,27,737,22108.6875,71547.5675,45958.08982700136,10938.329584846868,0.23800661920505595,0.7234308014136873,67.10029228228092
2016,1,Jan,27,714,12275.574999999999,72356.9575,44793.48404411765,14574.055422086089,0.32536105938381404,0.7916531705410781,58.90106027599982
2016,2,Feb,27,505,20267.925,77183.01,44061.59017326733,14349.365175731671,0.3256660760382088,0.733051229388875,55.57389947907081
2016,3,Mar,27,697,12739.385,70499.4125,33016.244917503594,11350.865599644034,0.34379638350775504,0.7788777421658198,55.86003233938065
2016,4,Apr,27,712,16380.105,55669.8125,31997.426871488766,8603.396969661308,0.26887777583538586,0.7802719304622442,65.54050385022836
2016,5,May,27,719,7602.697499999999,51036.81250000001,28839.018139777465,9018.335432854754,0.31271298451093327,0.8049741642018213,61.15241973995447
2016,6,Jun,27,456,12640.182499999999,35547.32499999999,24114.046798245614,5158.7920813327555,0.21393307081530905,0.8315524712672532,74.27305212751236
2016,7,Jul,27,741,9389.497499999998,46261.58500000001,23484.845030364373,8616.842656263256,0.3669107735274489,0.9122760393120418,59.78072888945536
2016,8,Aug,27,739,10523.0025,49607.73750000001,26503.84641745603,8528.673704817435,0.3217900364529829,0.7790817495902688,58.696242515985354
2016,9,Sep,27,674,5457.2875,59264.37,22723.856750741837,10124.620909941317,0.4455502875677471,0.9890120610915003,54.94996420205172
2016,10,Oct,27,728,10100.292500000001,53365.585,27196.247757554946,9980.270462307255,0.36697233203925345,0.7830011700635929,53.13259467933502
